Device Name,Input Type,Output Type,Input Sample Rate,Output Sample Rate,Latency,Source,Input Count,Output Count
Allen & Heath CDM48 (Dante128x128) (96kHz),Analog,AES3,-,96kHz,"1,48ms",(moto measured),2,2
Allen & Heath CDM48 (Dante128x128) (96kHz),AES3,Analog,96kHz,-,"1,48ms",(moto measured),2,2
Allen & Heath dLive MixRack,Analog,Analog,-,-,"0,7ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,Analog,AES3,-,48kHz,"0,7ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,Analog,AES3,-,96kHz,"0,7ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,Analog,Dante,-,48kHz,"1,2ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,Analog,Dante,-,96kHz,"1,2ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,Analog,AES67,-,48kHz,"1,2ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,Analog,AES67,-,96kHz,"1,2ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,AES3,Analog,48kHz,-,"0,7ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,AES3,Analog,96kHz,-,"0,7ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,AES3,AES3,48kHz,48kHz,"0,7ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,AES3,AES3,48kHz,96kHz,"0,7ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,AES3,AES3,96kHz,48kHz,"0,7ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,AES3,AES3,96kHz,96kHz,"0,7ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,AES3,Dante,48kHz,48kHz,"1,2ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,AES3,Dante,48kHz,96kHz,"1,2ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,AES3,Dante,96kHz,48kHz,"1,2ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,AES3,Dante,96kHz,96kHz,"1,2ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,AES3,AES67,48kHz,48kHz,"1,2ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,AES3,AES67,48kHz,96kHz,"1,2ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,AES3,AES67,96kHz,48kHz,"1,2ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,AES3,AES67,96kHz,96kHz,"1,2ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,Dante,Analog,48kHz,-,"1,2ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,Dante,Analog,96kHz,-,"1,2ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,Dante,AES3,48kHz,48kHz,"1,2ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,Dante,AES3,48kHz,96kHz,"1,2ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,Dante,AES3,96kHz,48kHz,"1,2ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,Dante,AES3,96kHz,96kHz,"1,2ms",Allen & Heath dLive MixRack Datasheet,2,2
Allen & Heath dLive MixRack,Dante,Dante,48kHz,48kHz,"1,2ms",Allen & Heath dLive MixRack Datasheet,2,2
