Device Name,Input Type,Output Type,Input Sample Rate,Output Sample Rate,Latency,Source,Input Count,Output Count
DiGiCo Quantum 112,Analog,Analog,-,-,"1,0ms",DiGiCo Console Datasheet,2,2
DiGiCo Quantum 112,Analog,AES3,-,48kHz,"1,0ms",DiGiCo Console Datasheet,2,2
DiGiCo Quantum 112,Analog,Dante,-,48kHz,"1,0ms",DiGiCo Console Datasheet,2,2
DiGiCo Quantum 112,Analog,Optocore,-,48kHz,"1,0ms",DiGiCo Console Datasheet,2,2
DiGiCo Quantum 112,AES3,Analog,48kHz,-,"1,0ms",DiGiCo Console Datasheet,2,2
DiGiCo Quantum 112,AES3,AES3,48kHz,48kHz,"1,0ms",DiGiCo Console Datasheet,2,2
DiGiCo Quantum 112,AES3,Dante,48kHz,48kHz,"1,0ms",DiGiCo Console Datasheet,2,2
DiGiCo Quantum 112,AES3,Optocore,48kHz,48kHz,"1,0ms",DiGiCo Console Datasheet,2,2
DiGiCo Quantum 112,Dante,Analog,48kHz,-,"1,0ms",DiGiCo Console Datasheet,2,2
DiGiCo Quantum 112,Dante,AES3,48kHz,48kHz,"1,0ms",DiGiCo Console Datasheet,2,2
DiGiCo Quantum 112,Dante,Dante,48kHz,48kHz,"1,0ms",DiGiCo Console Datasheet,2,2
DiGiCo Quantum 112,Dante,Optocore,48kHz,48kHz,"1,0ms",DiGiCo Console Datasheet,2,2
DiGiCo Quantum 112,Optocore,Analog,48kHz,-,"1,0ms",DiGiCo Console Datasheet,2,2
DiGiCo Quantum 112,Optocore,AES3,48kHz,48kHz,"1,0ms",DiGiCo Console Datasheet,2,2
DiGiCo Quantum 112,Optocore,Dante,48kHz,48kHz,"1,0ms",DiGiCo Console Datasheet,2,2
DiGiCo Quantum 112,Optocore,Optocore,48kHz,48kHz,"1,0ms",DiGiCo Console Datasheet,2,2
DiGiCo Quantum 112,Analog,AES3,-,96kHz,"1,0ms",DiGiCo Console Datasheet,2,2
DiGiCo Quantum 112,Analog,Dante,-,96kHz,"1,0ms",DiGiCo Console Datasheet,2,2
DiGiCo Quantum 112,Analog,Optocore,-,96kHz,"1,0ms",DiGiCo Console Datasheet,2,2
DiGiCo Quantum 112,AES3,Analog,96kHz,-,"1,0ms",DiGiCo Console Datasheet,2,2
DiGiCo Quantum 112,AES3,AES3,96kHz,96kHz,"1,0ms",DiGiCo Console Datasheet,2,2
DiGiCo Quantum 112,AES3,Dante,96kHz,96kHz,"1,0ms",DiGiCo Console Datasheet,2,2
DiGiCo Quantum 112,AES3,Optocore,96kHz,96kHz,"1,0ms",DiGiCo Console Datasheet,2,2
DiGiCo Quantum 112,Dante,Analog,96kHz,-,"1,0ms",DiGiCo Console Datasheet,2,2
DiGiCo Quantum 112,Dante,AES3,96kHz,96kHz,"1,0ms",DiGiCo Console Datasheet,2,2
DiGiCo Quantum 112,Dante,Dante,96kHz,96kHz,"1,0ms",DiGiCo Console Datasheet,2,2
DiGiCo Quantum 112,Dante,Optocore,96kHz,96kHz,"1,0ms",DiGiCo Console Datasheet,2,2
DiGiCo Quantum 112,Optocore,Analog,96kHz,-,"1,0ms",DiGiCo Console Datasheet,2,2
DiGiCo Quantum 112,Optocore,AES3,96kHz,96kHz,"1,0ms",DiGiCo Console Datasheet,2,2
DiGiCo Quantum 112,Optocore,Dante,96kHz,96kHz,"1,0ms",DiGiCo Console Datasheet,2,2
DiGiCo Quantum 112,Optocore,Optocore,96kHz,96kHz,"1,0ms",DiGiCo Console Datasheet,2,2
DiGiCo Quantum 225,Analog,Analog,-,-,"1,0ms",DiGiCo Console Datasheet,2,2
DiGiCo Quantum 225,Analog,AES3,-,48kHz,"1,0ms",DiGiCo Console Datasheet,2,2
DiGiCo Quantum 225,Analog,Dante,-,48kHz,"1,0ms",DiGiCo Console Datasheet,2,2
DiGiCo Quantum 225,Analog,Optocore,-,48kHz,"1,0ms",DiGiCo Console Datasheet,2,2
DiGiCo Quantum 225,AES3,Analog,48kHz,-,"1,0ms",DiGiCo Console Datasheet,2,2
DiGiCo Quantum 225,AES3,AES3,48kHz,48kHz,"1,0ms",DiGiCo Console Datasheet,2,2
DiGiCo Quantum 225,AES3,Dante,48kHz,48kHz,"1,0ms",DiGiCo Console Datasheet,2,2
DiGiCo Quantum 225,AES3,Optocore,48kHz,48kHz,"1,0ms",DiGiCo Console Datasheet,2,2
DiGiCo Quantum 225,Dante,Analog,48kHz,-,"1,0ms",DiGiCo Console Datasheet,2,2
DiGiCo Quantum 225,Dante,AES3,48kHz,48kHz,"1,0ms",DiGiCo Console Datasheet,2,2
DiGiCo Quantum 225,Dante,Dante,48kHz,48kHz,"1,0ms",DiGiCo Console Datasheet,2,2
DiGiCo Quantum 225,Dante,Optocore,48kHz,48kHz,"1,0ms",DiGiCo Console Datasheet,2,2
