Device Name,Input Type,Output Type,Input Sample Rate,Output Sample Rate,Latency,Source,Input Count,Output Count
RME ADI-2 Pro FS,Analog,Analog,-,-,"0,57ms",RME ADI-2 Pro FS Manual,2,2
RME ADI-2 Pro FS,Analog,AES3,-,48kHz,"0,57ms",RME ADI-2 Pro FS Manual,2,2
RME ADI-2 Pro FS,Analog,AES3,-,96kHz,"0,57ms",RME ADI-2 Pro FS Manual,2,2
RME ADI-2 Pro FS,Analog,Dante,-,48kHz,"1,07ms",RME ADI-2 Pro FS Manual,2,2
RME ADI-2 Pro FS,Analog,Dante,-,96kHz,"1,07ms",RME ADI-2 Pro FS Manual,2,2
RME ADI-2 Pro FS,Analog,AES67,-,48kHz,"1,07ms",RME ADI-2 Pro FS Manual,2,2
RME ADI-2 Pro FS,Analog,AES67,-,96kHz,"1,07ms",RME ADI-2 Pro FS Manual,2,2
RME ADI-2 Pro FS,AES3,Analog,48kHz,-,"0,57ms",RME ADI-2 Pro FS Manual,2,2
RME ADI-2 Pro FS,AES3,Analog,96kHz,-,"0,57ms",RME ADI-2 Pro FS Manual,2,2
RME ADI-2 Pro FS,AES3,AES3,48kHz,48kHz,"0,57ms",RME ADI-2 Pro FS Manual,2,2
RME ADI-2 Pro FS,AES3,AES3,48kHz,96kHz,"0,57ms",RME ADI-2 Pro FS Manual,2,2
RME ADI-2 Pro FS,AES3,AES3,96kHz,48kHz,"0,57ms",RME ADI-2 Pro FS Manual,2,2
RME ADI-2 Pro FS,AES3,AES3,96kHz,96kHz,"0,57ms",RME ADI-2 Pro FS Manual,2,2
RME ADI-2 Pro FS,AES3,Dante,48kHz,48kHz,"1,07ms",RME ADI-2 Pro FS Manual,2,2
RME ADI-2 Pro FS,AES3,Dante,48kHz,96kHz,"1,07ms",RME ADI-2 Pro FS Manual,2,2
RME ADI-2 Pro FS,AES3,Dante,96kHz,48kHz,"1,07ms",RME ADI-2 Pro FS Manual,2,2
RME ADI-2 Pro FS,AES3,Dante,96kHz,96kHz,"1,07ms",RME ADI-2 Pro FS Manual,2,2
RME ADI-2 Pro FS,AES3,AES67,48kHz,48kHz,"1,07ms",RME ADI-2 Pro FS Manual,2,2
RME ADI-2 Pro FS,AES3,AES67,48kHz,96kHz,"1,07ms",RME ADI-2 Pro FS Manual,2,2
RME ADI-2 Pro FS,AES3,AES67,96kHz,48kHz,"1,07ms",RME ADI-2 Pro FS Manual,2,2
RME ADI-2 Pro FS,AES3,AES67,96kHz,96kHz,"1,07ms",RME ADI-2 Pro FS Manual,2,2
RME ADI-2 Pro FS,Dante,Analog,48kHz,-,"1,07ms",RME ADI-2 Pro FS Manual,2,2
RME ADI-2 Pro FS,Dante,Analog,96kHz,-,"1,07ms",RME ADI-2 Pro FS Manual,2,2
RME ADI-2 Pro FS,Dante,AES3,48kHz,48kHz,"1,07ms",RME ADI-2 Pro FS Manual,2,2
RME ADI-2 Pro FS,Dante,AES3,48kHz,96kHz,"1,07ms",RME ADI-2 Pro FS Manual,2,2
RME ADI-2 Pro FS,Dante,AES3,96kHz,48kHz,"1,07ms",RME ADI-2 Pro FS Manual,2,2
RME ADI-2 Pro FS,Dante,AES3,96kHz,96kHz,"1,07ms",RME ADI-2 Pro FS Manual,2,2
RME ADI-2 Pro FS,Dante,Dante,48kHz,48kHz,"1,07ms",RME ADI-2 Pro FS Manual,2,2
RME ADI-2 Pro FS,Dante,Dante,48kHz,96kHz,"1,07ms",RME ADI-2 Pro FS Manual,2,2
RME ADI-2 Pro FS,Dante,Dante,96kHz,48kHz,"1,07ms",RME ADI-2 Pro FS Manual,2,2
RME ADI-2 Pro FS,Dante,Dante,96kHz,96kHz,"1,07ms",RME ADI-2 Pro FS Manual,2,2
RME ADI-2 Pro FS,Dante,AES67,48kHz,48kHz,"1,07ms",RME ADI-2 Pro FS Manual,2,2
RME ADI-2 Pro FS,Dante,AES67,48kHz,96kHz,"1,07ms",RME ADI-2 Pro FS Manual,2,2
RME ADI-2 Pro FS,Dante,AES67,96kHz,48kHz,"1,07ms",RME ADI-2 Pro FS Manual,2,2
RME ADI-2 Pro FS,Dante,AES67,96kHz,96kHz,"1,07ms",RME ADI-2 Pro FS Manual,2,2
RME ADI-2 Pro FS,AES67,Analog,48kHz,-,"1,07ms",RME ADI-2 Pro FS Manual,2,2
RME ADI-2 Pro FS,AES67,Analog,96kHz,-,"1,07ms",RME ADI-2 Pro FS Manual,2,2
RME ADI-2 Pro FS,AES67,AES3,48kHz,48kHz,"1,07ms",RME ADI-2 Pro FS Manual,2,2
RME ADI-2 Pro FS,AES67,AES3,48kHz,96kHz,"1,07ms",RME ADI-2 Pro FS Manual,2,2
RME ADI-2 Pro FS,AES67,AES3,96kHz,48kHz,"1,07ms",RME ADI-2 Pro FS Manual,2,2
RME ADI-2 Pro FS,AES67,AES3,96kHz,96kHz,"1,07ms",RME ADI-2 Pro FS Manual,2,2
RME ADI-2 Pro FS,AES67,Dante,48kHz,48kHz,"1,07ms",RME ADI-2 Pro FS Manual,2,2
