Device Name,Input Type,Output Type,Input Sample Rate,Output Sample Rate,Latency,Source,Input Count,Output Count
Yamaha CL5,Dante,Dante,96000,96000,0.25ms,Yamaha DSP engine latency @96kHz,64,64
Yamaha CL5,Analog,Dante,96000,96000,0.43ms,Yamaha AD (0.18) + DSP (0.25),32,64
Yamaha CL5,Dante,Analog,96000,96000,0.43ms,Yamaha DSP (0.25) + DA (0.18),64,32
Yamaha CL5,Analog,Analog,96000,96000,0.61ms,Yamaha AD (0.18) + DSP (0.25) + DA (0.18),32,32
Yamaha CL3,Dante,Dante,96000,96000,0.25ms,Yamaha DSP engine latency @96kHz,64,64
Yamaha CL3,Analog,Dante,96000,96000,0.43ms,Yamaha converter + DSP latency,32,64
Yamaha CL3,Dante,Analog,96000,96000,0.43ms,Yamaha converter + DSP latency,64,32
Yamaha CL3,Analog,Analog,96000,96000,0.61ms,Yamaha full signal path latency,32,32
Yamaha CL1,Dante,Dante,96000,96000,0.25ms,Yamaha DSP engine latency @96kHz,48,48
Yamaha CL1,Analog,Dante,96000,96000,0.43ms,Yamaha converter + DSP latency,16,48
Yamaha CL1,Dante,Analog,96000,96000,0.43ms,Yamaha converter + DSP latency,48,16
Yamaha CL1,Analog,Analog,96000,96000,0.61ms,Yamaha full signal path latency,16,16
Yamaha QL5,Dante,Dante,96000,96000,0.25ms,Yamaha DSP engine latency @96kHz,64,64
Yamaha QL5,Analog,Dante,96000,96000,0.43ms,Yamaha converter + DSP latency,32,64
Yamaha QL5,Dante,Analog,96000,96000,0.43ms,Yamaha converter + DSP latency,64,32
Yamaha QL5,Analog,Analog,96000,96000,0.61ms,Yamaha full signal path latency,32,32
Yamaha QL1,Dante,Dante,96000,96000,0.25ms,Yamaha DSP engine latency @96kHz,32,32
Yamaha QL1,Analog,Dante,96000,96000,0.43ms,Yamaha converter + DSP latency,16,32
Yamaha QL1,Dante,Analog,96000,96000,0.43ms,Yamaha converter + DSP latency,32,16
Yamaha QL1,Analog,Analog,96000,96000,0.61ms,Yamaha full signal path latency,16,16
Yamaha PM7,Dante,Dante,96000,96000,0.18ms,Yamaha DSP engine latency @96kHz,144,144
Yamaha PM7,Analog,Dante,96000,96000,0.36ms,Yamaha AD (0.18) + DSP (0.18),48,144
